implementation,threads,mean_compress_seconds,min_compress_seconds,max_compress_seconds,mean_throughput_mbps,samples
baseline (sequential pbzx),1,85.725957,84.694169,86.263489,12.632,3
baseline (sequential pbzx),2,83.667658,83.432957,83.902822,12.941,3
baseline (sequential pbzx),4,84.112985,83.244643,85.687464,12.875,3
baseline (sequential pbzx),8,85.890042,83.473802,89.363118,12.617,3
baseline (sequential pbzx),16,85.055299,83.941517,85.703997,12.731,3
baseline (sequential pbzx),32,85.808753,85.196655,86.894075,12.619,3
stage1 (naive),1,80.841066,80.778383,80.945744,13.394,3
stage1 (naive),2,40.626315,40.401797,40.775236,26.652,3
stage1 (naive),4,20.799247,20.555788,21.039152,52.063,3
stage1 (naive),8,10.527028,10.351492,10.724752,102.878,3
stage1 (naive),16,5.520414,5.466734,5.564498,196.151,3
stage1 (naive),32,3.057582,2.932404,3.207292,354.611,3
stage2 (constrained),1,81.769758,81.553502,82.036098,13.242,3
stage2 (constrained),2,40.622375,40.332072,40.888830,26.655,3
stage2 (constrained),4,20.736154,20.677565,20.806778,52.217,3
stage2 (constrained),8,10.503436,10.305832,10.863604,103.147,3
stage2 (constrained),16,5.497759,5.331279,5.690271,197.090,3
stage2 (constrained),32,3.490235,3.232481,3.714715,311.250,3
stage3 (profiling),1,78.718195,78.466712,79.104218,13.755,3
stage3 (profiling),2,39.432299,39.389587,39.454345,27.459,3
stage3 (profiling),4,20.018740,19.922144,20.210095,54.091,3
stage3 (profiling),8,10.233831,10.179984,10.292397,105.806,3
stage3 (profiling),16,5.357198,5.300211,5.417776,202.132,3
stage3 (profiling),32,3.032938,2.839429,3.319997,358.613,3
lbzip2 (reference),1,67.898698,67.530770,68.201681,15.947,3
lbzip2 (reference),2,34.505444,34.348704,34.689632,31.380,3
lbzip2 (reference),4,17.578180,17.511949,17.638634,61.598,3
lbzip2 (reference),8,9.096348,8.887851,9.202853,119.065,3
lbzip2 (reference),16,4.963736,4.842569,5.120825,218.255,3
lbzip2 (reference),32,3.135706,3.008200,3.241301,345.634,3
pbzip2 (reference),1,81.131718,80.961215,81.412727,13.346,3
pbzip2 (reference),2,41.326413,41.002541,41.676027,26.202,3
pbzip2 (reference),4,20.890027,20.720057,20.993773,51.834,3
pbzip2 (reference),8,10.753829,10.553710,10.982127,100.714,3
pbzip2 (reference),16,5.890652,5.827962,5.976414,183.833,3
pbzip2 (reference),32,3.788670,3.689989,3.892252,285.929,3
