implementation,threads,compress_seconds,throughput_mbps,compression_ratio,input_bytes,output_bytes
lbzip2,1,67.963644,15.931,.233908,1082774528,253270191
lbzip2,1,68.201681,15.876,.233908,1082774528,253270191
lbzip2,1,67.530770,16.033,.233908,1082774528,253270191
lbzip2,2,34.477995,31.404,.233908,1082774528,253270191
lbzip2,2,34.348704,31.522,.233908,1082774528,253270191
lbzip2,2,34.689632,31.213,.233908,1082774528,253270191
lbzip2,4,17.511949,61.830,.233908,1082774528,253270191
lbzip2,4,17.638634,61.386,.233908,1082774528,253270191
lbzip2,4,17.583956,61.577,.233908,1082774528,253270191
lbzip2,8,9.202853,117.656,.233908,1082774528,253270191
lbzip2,8,9.198339,117.714,.233908,1082774528,253270191
lbzip2,8,8.887851,121.826,.233908,1082774528,253270191
lbzip2,16,5.120825,211.445,.233908,1082774528,253270191
lbzip2,16,4.927813,219.727,.233908,1082774528,253270191
lbzip2,16,4.842569,223.594,.233908,1082774528,253270191
lbzip2,32,3.157618,342.908,.233908,1082774528,253270191
lbzip2,32,3.241301,334.055,.233908,1082774528,253270191
lbzip2,32,3.008200,359.940,.233908,1082774528,253270191
